Population,maternal_plant,Family_ID,seeds,Date_planted,Germination_time,Time_to_germination,Is.germinated
1,2,1,2,2017-04-25,2017-05-01,6,1
1,2,1,3,2017-04-25,2017-05-04,9,1
1,2,1,5,2017-04-25,2017-05-01,6,1
1,3,2,1,2017-04-25,2017-05-01,6,1
1,3,2,3,2017-04-25,2017-05-12,17,1
1,3,2,4,2017-04-25,2017-05-05,10,1
1,5,3,2,2017-04-25,2017-05-04,9,1
1,5,3,3,2017-04-25,2017-05-04,9,1
1,6,4,1,2017-04-25,2017-05-08,13,1
1,6,4,3,2017-04-25,2017-04-30,5,1
1,7,5,1,2017-04-25,2017-05-05,10,1
1,7,5,3,2017-04-25,2017-05-02,7,1
1,7,5,4,2017-04-25,2017-05-01,6,1
1,10,6,1,2017-04-25,2017-04-30,5,1
1,10,6,2,2017-04-25,2017-04-30,5,1
1,10,6,3,2017-04-25,2017-04-30,5,1
1,10,6,4,2017-04-25,2017-05-04,9,1
1,10,6,5,2017-04-25,2017-04-30,5,1
1,11,7,1,2017-04-25,2017-05-04,9,1
1,11,7,2,2017-04-25,2017-05-04,9,1
1,11,7,4,2017-04-25,2017-05-01,6,1
1,11,7,5,2017-04-25,2017-04-30,5,1
1,12,8,1,2017-04-25,2017-05-04,9,1
1,12,8,2,2017-04-25,2017-04-29,4,1
2,1,1,1,2017-04-25,2017-04-28,3,1
2,1,1,3,2017-04-25,2017-04-28,3,1
2,1,1,4,2017-04-25,2017-04-29,4,1
2,2,2,2,2017-04-25,2017-04-30,5,1
2,2,2,4,2017-04-25,2017-05-07,12,1
2,2,2,5,2017-04-25,2017-04-28,3,1
2,3,3,1,2017-04-25,2017-04-28,3,1
2,3,3,2,2017-04-25,2017-04-28,3,1
2,3,3,3,2017-04-25,2017-04-30,5,1
2,3,3,4,2017-04-25,2017-04-29,4,1
2,4,4,3,2017-04-25,2017-04-30,5,1
2,4,4,4,2017-04-25,2017-04-28,3,1
2,7,5,1,2017-04-25,2017-04-29,4,1
2,7,5,2,2017-04-25,2017-04-28,3,1
2,7,5,3,2017-04-25,2017-05-05,10,1
2,7,5,4,2017-04-25,2017-04-30,5,1
2,7,5,5,2017-04-25,2017-04-30,5,1
2,8,6,1,2017-04-25,2017-05-02,7,1
2,8,6,2,2017-04-25,2017-04-30,5,1
2,8,6,3,2017-04-25,2017-05-02,7,1
2,8,6,4,2017-04-25,2017-04-30,5,1
2,9,7,2,2017-04-25,2017-05-05,10,1
2,9,7,4,2017-04-25,2017-04-28,3,1
3,9,1,3,2017-04-25,2017-05-01,6,1
3,9,1,4,2017-04-25,2017-05-01,6,1
3,12,2,1,2017-04-25,2017-04-30,5,1
3,12,2,2,2017-04-25,2017-04-30,5,1
3,12,2,3,2017-04-25,2017-04-30,5,1
3,12,2,4,2017-04-25,2017-04-28,3,1
3,12,2,5,2017-04-25,2017-04-30,5,1
3,7,3,1,2017-04-25,2017-04-30,5,1
3,7,3,2,2017-04-25,2017-04-30,5,1
3,7,3,4,2017-04-25,2017-04-29,4,1
3,7,3,5,2017-04-25,2017-04-28,3,1
3,14,4,1,2017-04-25,2017-05-07,12,1
3,14,4,2,2017-04-25,2017-04-29,4,1
3,14,4,3,2017-04-25,2017-04-30,5,1
3,14,4,4,2017-04-25,2017-05-01,6,1
3,14,4,5,2017-04-25,2017-04-27,2,1
3,1,5,1,2017-04-25,2017-05-07,12,1
3,1,5,5,2017-04-25,2017-05-15,20,1
3,15,6,3,2017-04-25,2017-04-30,5,1
3,15,6,4,2017-04-25,2017-05-02,7,1
3,8,7,1,2017-04-25,2017-05-01,6,1
3,8,7,2,2017-04-25,2017-04-30,5,1
3,8,7,3,2017-04-25,2017-04-30,5,1
3,8,7,4,2017-04-25,2017-04-30,5,1
3,8,7,5,2017-04-25,2017-04-30,5,1
3,3,8,1,2017-04-25,2017-04-29,4,1
3,3,8,2,2017-04-25,2017-04-28,3,1
3,3,8,4,2017-04-25,2017-05-05,10,1
3,3,8,5,2017-04-25,2017-05-08,13,1
4,14,1,1,2017-04-25,2017-04-30,5,1
4,14,1,2,2017-04-25,2017-05-02,7,1
4,14,1,5,2017-04-25,2017-04-28,3,1
4,13,2,1,2017-04-25,2017-04-30,5,1
4,13,2,4,2017-04-25,2017-04-30,5,1
4,13,2,5,2017-04-25,2017-04-28,3,1
4,8,3,1,2017-04-25,2017-04-28,3,1
4,8,3,2,2017-04-25,2017-04-28,3,1
4,8,3,3,2017-04-25,2017-04-30,5,1
4,8,3,4,2017-04-25,2017-04-29,4,1
4,8,3,5,2017-04-25,2017-05-04,9,1
4,4,4,1,2017-04-25,2017-05-01,6,1
4,4,4,2,2017-04-25,2017-04-29,4,1
4,4,4,3,2017-04-25,2017-05-01,6,1
4,4,4,4,2017-04-25,2017-04-29,4,1
4,4,4,5,2017-04-25,2017-04-28,3,1
4,9,5,1,2017-04-25,2017-04-28,3,1
4,9,5,2,2017-04-25,2017-05-01,6,1
4,9,5,3,2017-04-25,2017-04-28,3,1
4,9,5,4,2017-04-25,2017-05-01,6,1
4,9,5,5,2017-04-25,2017-05-04,9,1
4,15,6,1,2017-04-25,2017-04-28,3,1
4,15,6,2,2017-04-25,2017-04-28,3,1
4,15,6,3,2017-04-25,2017-05-01,6,1
4,15,6,4,2017-04-25,2017-05-01,6,1
4,15,6,5,2017-04-25,2017-04-28,3,1
4,3,7,1,2017-04-25,2017-04-28,3,1
4,3,7,2,2017-04-25,2017-04-28,3,1
4,3,7,4,2017-04-25,2017-05-04,9,1
4,3,7,5,2017-04-25,2017-05-02,7,1
4,7,8,2,2017-04-25,2017-05-01,6,1
4,7,8,3,2017-04-25,2017-05-01,6,1
4,7,8,4,2017-04-25,2017-05-01,6,1
4,7,8,5,2017-04-25,2017-05-01,6,1
5,10,1,1,2017-04-25,2017-05-01,6,1
5,10,1,2,2017-04-25,2017-05-01,6,1
5,10,1,3,2017-04-25,2017-05-01,6,1
5,10,1,4,2017-04-25,2017-05-01,6,1
5,10,1,5,2017-04-25,2017-05-01,6,1
5,1,2,1,2017-04-25,2017-05-01,6,1
5,1,2,2,2017-04-25,2017-04-29,4,1
5,1,2,3,2017-04-25,2017-04-29,4,1
5,1,2,4,2017-04-25,2017-05-01,6,1
5,1,2,5,2017-04-25,2017-05-01,6,1
5,7,3,1,2017-04-25,2017-04-29,4,1
5,7,3,2,2017-04-25,2017-04-29,4,1
5,7,3,3,2017-04-25,2017-04-28,3,1
5,7,3,4,2017-04-25,2017-04-29,4,1
5,7,3,5,2017-04-25,2017-04-28,3,1
5,14,4,1,2017-04-25,2017-04-28,3,1
5,14,4,2,2017-04-25,2017-04-28,3,1
5,14,4,3,2017-04-25,2017-05-01,6,1
5,14,4,4,2017-04-25,2017-04-29,4,1
5,12,5,1,2017-04-25,2017-04-28,3,1
5,12,5,2,2017-04-25,2017-04-29,4,1
5,12,5,4,2017-04-25,2017-04-29,4,1
5,12,5,5,2017-04-25,2017-04-29,4,1
5,11,6,1,2017-04-25,2017-04-29,4,1
5,11,6,2,2017-04-25,2017-04-29,4,1
5,11,6,3,2017-04-25,2017-04-29,4,1
5,11,6,4,2017-04-25,2017-05-01,6,1
5,15,7,1,2017-04-25,2017-04-28,3,1
5,15,7,2,2017-04-25,2017-04-29,4,1
5,15,7,3,2017-04-25,2017-05-04,9,1
5,15,7,4,2017-04-25,2017-04-29,4,1
5,15,7,5,2017-04-25,2017-05-05,10,1
5,4,8,1,2017-04-25,2017-04-29,4,1
5,4,8,2,2017-04-25,2017-04-28,3,1
5,4,8,3,2017-04-25,2017-05-01,6,1
5,4,8,4,2017-04-25,2017-05-01,6,1
5,4,8,5,2017-04-25,2017-05-01,6,1
6,10,1,1,2017-04-25,2017-05-01,6,1
6,10,1,2,2017-04-25,2017-05-01,6,1
6,10,1,3,2017-04-25,2017-05-01,6,1
6,10,1,4,2017-04-25,2017-05-01,6,1
6,10,1,5,2017-04-25,2017-04-28,3,1
6,9,2,2,2017-04-25,2017-05-01,6,1
6,9,2,3,2017-04-25,2017-05-01,6,1
6,9,2,4,2017-04-25,2017-05-01,6,1
6,11,3,1,2017-04-25,2017-05-01,6,1
6,11,3,2,2017-04-25,2017-05-01,6,1
6,11,3,3,2017-04-25,2017-05-01,6,1
6,11,3,4,2017-04-25,2017-05-01,6,1
6,11,3,5,2017-04-25,2017-05-01,6,1
6,4,4,1,2017-04-25,2017-05-01,6,1
6,4,4,2,2017-04-25,2017-05-01,6,1
6,4,4,3,2017-04-25,2017-05-01,6,1
6,4,4,4,2017-04-25,2017-05-01,6,1
6,4,4,5,2017-04-25,2017-05-01,6,1
6,15,5,1,2017-04-25,2017-05-01,6,1
6,15,5,2,2017-04-25,2017-05-01,6,1
6,15,5,3,2017-04-25,2017-05-01,6,1
6,15,5,4,2017-04-25,2017-05-01,6,1
6,15,5,5,2017-04-25,2017-05-01,6,1
6,2,6,1,2017-04-25,2017-04-28,3,1
6,2,6,2,2017-04-25,2017-04-28,3,1
6,2,6,3,2017-04-25,2017-04-28,3,1
6,2,6,4,2017-04-25,2017-04-28,3,1
6,2,6,5,2017-04-26,2017-05-01,5,1
6,1,7,1,2017-04-26,2017-05-01,5,1
6,1,7,2,2017-04-26,2017-05-01,5,1
6,1,7,3,2017-04-26,2017-05-04,8,1
6,6,8,1,2017-04-26,2017-05-01,5,1
6,6,8,3,2017-04-26,2017-05-01,5,1
6,6,8,4,2017-04-26,2017-05-01,5,1
6,6,8,5,2017-04-26,2017-05-01,5,1
7,4,1,1,2017-04-26,2017-05-01,5,1
7,4,1,2,2017-04-26,2017-05-04,8,1
7,4,1,3,2017-04-26,2017-05-04,8,1
7,4,1,4,2017-04-26,2017-05-02,6,1
7,3,2,1,2017-04-26,2017-05-04,8,1
7,3,2,2,2017-04-26,2017-05-02,6,1
7,3,2,3,2017-04-26,2017-05-04,8,1
7,3,2,5,2017-04-26,2017-05-01,5,1
7,8,3,1,2017-04-26,2017-05-01,5,1
7,8,3,3,2017-04-26,2017-05-01,5,1
7,8,3,4,2017-04-26,2017-05-05,9,1
7,8,3,5,2017-04-26,2017-05-02,6,1
7,12,4,1,2017-04-26,2017-05-04,8,1
7,12,4,2,2017-04-26,2017-05-04,8,1
7,12,4,3,2017-04-26,2017-05-01,5,1
7,12,4,4,2017-04-26,2017-05-01,5,1
7,12,4,5,2017-04-26,2017-05-04,8,1
7,15,5,1,2017-04-26,2017-05-01,5,1
7,15,5,3,2017-04-26,2017-04-30,4,1
7,15,5,4,2017-04-26,2017-04-30,4,1
7,15,5,5,2017-04-26,2017-04-30,4,1
7,10,6,1,2017-04-26,2017-04-30,4,1
7,10,6,2,2017-04-26,2017-04-30,4,1
7,10,6,3,2017-04-26,2017-04-30,4,1
7,10,6,4,2017-04-26,2017-04-30,4,1
7,6,7,1,2017-04-26,2017-04-30,4,1
7,6,7,2,2017-04-26,2017-05-01,5,1
7,6,7,3,2017-04-26,2017-05-01,5,1
7,6,7,4,2017-04-26,2017-04-30,4,1
7,6,7,5,2017-04-26,2017-05-01,5,1
7,11,8,1,2017-04-26,2017-04-30,4,1
7,11,8,2,2017-04-26,2017-04-30,4,1
7,11,8,3,2017-04-26,2017-04-30,4,1
7,11,8,4,2017-04-26,2017-04-30,4,1
7,11,8,5,2017-04-26,2017-04-28,2,1
8,2,1,1,2017-04-26,2017-04-30,4,1
8,5,1,2,2017-04-26,2017-04-30,4,1
8,15,1,3,2017-04-26,2017-04-30,4,1
8,1,1,4,2017-04-26,2017-04-30,4,1
8,14,1,5,2017-04-26,2017-04-30,4,1
8,8,2,1,2017-04-26,2017-05-05,9,1
8,11,2,2,2017-04-26,2017-05-02,6,1
8,3,2,3,2017-04-26,2017-04-30,4,1
8,6,2,5,2017-04-26,2017-05-04,8,1
8,8,3,1,2017-04-26,2017-05-04,8,1
8,8,3,2,2017-04-26,2017-05-02,6,1
8,8,3,5,2017-04-26,2017-04-30,4,1
8,5,4,1,2017-04-26,2017-05-01,5,1
8,5,4,2,2017-04-26,2017-05-02,6,1
8,5,4,3,2017-04-26,2017-05-04,8,1
8,5,4,5,2017-04-26,2017-05-01,5,1
8,4,5,2,2017-04-26,2017-04-29,3,1
8,4,5,3,2017-04-26,2017-04-29,3,1
8,4,5,4,2017-04-26,2017-05-04,8,1
8,4,5,5,2017-04-26,2017-05-02,6,1
8,10,6,2,2017-04-26,2017-05-02,6,1
8,10,6,3,2017-04-26,2017-05-02,6,1
8,10,6,4,2017-04-26,2017-04-30,4,1
8,11,7,1,2017-04-26,2017-04-30,4,1
8,11,7,2,2017-04-26,2017-04-30,4,1
8,11,7,3,2017-04-26,2017-04-29,3,1
8,11,7,4,2017-04-26,2017-05-02,6,1
8,11,7,5,2017-04-26,2017-05-08,12,1
8,2,8,1,2017-04-26,2017-04-30,4,1
8,2,8,2,2017-04-26,2017-04-28,2,1
8,2,8,3,2017-04-26,2017-04-29,3,1
8,2,8,4,2017-04-26,2017-04-29,3,1
8,2,8,5,2017-04-26,2017-04-29,3,1
9,2,1,1,2017-04-26,2017-05-07,11,1
9,2,1,3,2017-04-26,2017-04-29,3,1
9,2,1,5,2017-04-26,2017-05-04,8,1
9,5,2,2,2017-04-26,2017-04-30,4,1
9,5,2,3,2017-04-26,2017-05-02,6,1
9,5,2,4,2017-04-26,2017-04-30,4,1
9,5,2,5,2017-04-26,2017-05-04,8,1
9,1,3,1,2017-04-26,2017-04-30,4,1
9,1,3,2,2017-04-26,2017-05-01,5,1
9,1,3,3,2017-04-26,2017-04-30,4,1
9,1,3,5,2017-04-26,2017-05-04,8,1
9,14,4,2,2017-04-26,2017-05-01,5,1
9,14,4,4,2017-04-26,2017-05-04,8,1
9,8,5,3,2017-04-26,2017-04-30,4,1
9,8,5,5,2017-04-26,2017-05-04,8,1
9,11,6,1,2017-04-26,2017-05-04,8,1
9,11,6,2,2017-04-26,2017-05-02,6,1
9,3,7,1,2017-04-26,2017-04-30,4,1
9,3,7,4,2017-04-26,2017-04-30,4,1
9,15,8,1,2017-04-26,2017-05-02,6,1
9,15,8,3,2017-04-26,2017-05-04,8,1
9,15,8,5,2017-04-26,2017-05-02,6,1
10,14,1,1,2017-04-26,2017-05-04,8,1
10,14,1,2,2017-04-26,2017-05-02,6,1
10,14,1,4,2017-04-26,2017-05-02,6,1
10,14,1,5,2017-04-26,2017-05-04,8,1
10,4,2,2,2017-04-26,2017-04-30,4,1
10,4,2,3,2017-04-26,2017-05-08,12,1
10,4,2,4,2017-04-26,2017-04-30,4,1
10,4,2,5,2017-04-26,2017-05-04,8,1
10,11,3,2,2017-04-26,2017-05-01,5,1
10,11,3,3,2017-04-26,2017-04-30,4,1
10,11,3,5,2017-04-26,2017-04-30,4,1
10,8,4,2,2017-04-26,2017-04-30,4,1
10,8,4,3,2017-04-26,2017-04-29,3,1
10,8,4,4,2017-04-26,2017-04-30,4,1
10,8,4,5,2017-04-26,2017-04-30,4,1
10,6,5,3,2017-04-26,2017-04-29,3,1
10,6,5,4,2017-04-26,2017-04-29,3,1
10,3,6,1,2017-04-26,2017-04-30,4,1
10,3,6,2,2017-04-26,2017-04-29,3,1
10,3,6,4,2017-04-26,2017-05-01,5,1
10,3,6,5,2017-04-26,2017-04-30,4,1
10,2,7,1,2017-04-26,2017-04-30,4,1
10,2,7,3,2017-04-26,2017-04-30,4,1
10,2,7,4,2017-04-26,2017-04-30,4,1
10,5,8,2,2017-04-26,2017-05-04,8,1
10,5,8,3,2017-04-26,2017-05-04,8,1
10,5,8,4,2017-04-26,2017-05-04,8,1
10,5,8,5,2017-04-26,2017-04-30,4,1
11,1,1,1,2017-04-26,2017-05-01,5,1
11,1,1,2,2017-04-26,2017-04-30,4,1
11,1,1,3,2017-04-26,2017-04-30,4,1
11,1,1,4,2017-04-26,2017-04-30,4,1
11,1,1,5,2017-04-26,2017-04-30,4,1
11,12,2,1,2017-04-26,2017-04-30,4,1
11,12,2,2,2017-04-26,2017-04-30,4,1
11,12,2,3,2017-04-26,2017-04-30,4,1
11,12,2,4,2017-04-26,2017-05-01,5,1
11,12,2,5,2017-04-26,2017-04-30,4,1
11,8,3,2,2017-04-26,2017-04-30,4,1
11,8,3,3,2017-04-26,2017-04-30,4,1
11,8,3,4,2017-04-26,2017-04-30,4,1
11,8,3,5,2017-04-26,2017-05-02,6,1
11,3,4,1,2017-04-26,2017-04-30,4,1
11,3,4,2,2017-04-26,2017-04-30,4,1
11,3,4,4,2017-04-26,2017-04-30,4,1
11,11,5,1,2017-04-26,2017-05-02,6,1
11,11,5,2,2017-04-26,2017-04-30,4,1
11,11,5,3,2017-04-26,2017-05-02,6,1
11,11,5,4,2017-04-26,2017-04-30,4,1
11,9,6,1,2017-04-26,2017-04-30,4,1
11,9,6,2,2017-04-26,2017-05-04,8,1
11,9,6,3,2017-04-26,2017-04-30,4,1
11,9,6,4,2017-04-26,2017-05-07,11,1
11,9,6,5,2017-04-26,2017-05-01,5,1
11,14,7,1,2017-04-26,2017-04-30,4,1
11,14,7,2,2017-04-26,2017-05-04,8,1
11,14,7,3,2017-04-26,2017-05-04,8,1
11,14,7,4,2017-04-26,2017-04-30,4,1
11,2,8,1,2017-04-26,2017-04-30,4,1
11,2,8,3,2017-04-26,2017-05-15,19,1
11,2,8,5,2017-04-26,2017-04-29,3,1
12,11,1,1,2017-04-26,2017-04-30,4,1
12,11,1,2,2017-04-26,2017-04-30,4,1
12,11,1,4,2017-04-26,2017-04-30,4,1
12,11,1,5,2017-04-26,2017-04-30,4,1
12,8,2,1,2017-04-26,2017-04-30,4,1
12,8,2,2,2017-04-26,2017-04-30,4,1
12,8,2,3,2017-04-26,2017-04-30,4,1
12,8,2,4,2017-04-26,2017-04-30,4,1
