Date,Population,Num_Inf,Pollinator,Num_Visit,Morph,Observer,Comments,Latitude,Longitude,Distance_to_core
02/08/2017,1,40,1,2,Bumble Bee,James,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,1,4,Bumble Bee,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,2,1,Honey Bee,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,3,13,Syrphid,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,4,3,Syrphid,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,2,19,1,2,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,2,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,3,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,4,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,5,2,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,1,6,Bumble Bee,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,2,21,Bumble Bee,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,3,4,Syrphid,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,3,47,1,5,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,2,10,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,3,17,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,4,5,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,5,2,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,6,5,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,7,1,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,8,3,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,9,1,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,10,1,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,11,11,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,1,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,2,5,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,3,5,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,4,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,5,1,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,6,7,Bumble Bee,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,7,10,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,8,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,9,8,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,4,38,1,26,Bumble Bee,James,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,38,2,9,Bumble Bee,James,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,1,1,Bumble Bee,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,2,2,Syrphid,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,3,12,Bumble Bee,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,4,1,Syrphid,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,5,34,1,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,2,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,3,1,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,4,1,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,5,4,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,6,3,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,7,8,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,8,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,9,3,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,10,15,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,11,9,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,12,6,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,13,4,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,1,3,Bumble Bee,Simon,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,2,3,Syrphid,Simon,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,3,1,Syrphid,Simon,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,4,13,Bumble Bee,Simon,NA,43.722385,-79.426597,8.257243194042573
09/08/2017,6,44,1,18,Bumble Bee,James,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,44,2,3,Bumble Bee,James,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,44,3,1,Bumble Bee,James,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,44,4,2,Bumble Bee,James,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,48,1,2,Syrphid,Simon,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,48,2,1,Syrphid,Simon,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,48,3,1,Syrphid,Simon,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,48,4,34,Bumble Bee,Simon,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,6,48,5,1,Syrphid,Simon,NA,43.713711000000004,-79.466545,9.440961875831535
09/08/2017,7,66,1,1,Bumble Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,66,2,4,Bumble Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,66,3,5,Honey Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,66,4,4,Honey Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,66,5,5,Bumble Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,66,6,6,Bumble Bee,James,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,84,1,1,Syrphid,Simon,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,7,84,2,18,Sweat Bee,Simon,NA,43.70646,-79.486262,10.19629667047448
09/08/2017,8,40,1,1,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,2,21,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,3,14,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,4,7,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,5,5,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,6,14,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,7,7,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,8,1,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,9,2,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,10,7,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,40,11,2,Honey Bee,James,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,45,1,7,Honey Bee,Simon,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,8,45,2,1,Syrphid,Simon,NA,43.701041,-79.511142,11.648537370864588
09/08/2017,9,60,1,1,Syrphid,Simon,NA,43.693306,-79.538379,13.369577165605406
09/08/2017,10,60,1,11,Bumble Bee,James,NA,43.686228,-79.561726,14.971521867180057
09/08/2017,10,60,2,1,Bumble Bee,James,NA,43.686228,-79.561726,14.971521867180057
09/08/2017,10,29,1,2,Sweat Bee,Simon,NA,43.686228,-79.561726,14.971521867180057
09/08/2017,10,29,2,1,Sweat Bee,Simon,NA,43.686228,-79.561726,14.971521867180057
09/08/2017,10,29,3,1,Sweat Bee,Simon,NA,43.686228,-79.561726,14.971521867180057
09/08/2017,11,94,NA,0,NA,James,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,1,7,Honey Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,2,2,Honey Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,3,13,Honey Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,4,2,Honey Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,5,6,Bumble Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,11,61,6,4,Honey Bee,Simon,NA,43.663863,-79.585551,16.533738844636368
09/08/2017,12,61,1,4,Sweat Bee,James,NA,43.652785,-79.610406,18.51599892153233
09/08/2017,12,48,1,8,Sweat Bee,Simon,NA,43.652785,-79.610406,18.51599892153233
09/08/2017,13,39,1,9,Sweat Bee,James,NA,43.641963,-79.631233,20.25081019161363
09/08/2017,13,33,1,10,Sweat Bee,Simon,NA,43.641963,-79.631233,20.25081019161363
11/08/2017,14,68,NA,0,NA,James,NA,43.627471,-79.65002,21.936116076110327
11/08/2017,14,87,NA,0,NA,Simon,NA,43.627471,-79.65002,21.936116076110327
11/08/2017,15,54,NA,0,NA,James,NA,43.616903,-79.669317,23.663587997705708
11/08/2017,15,81,1,2,Syrphid,Simon,NA,43.616903,-79.669317,23.663587997705708
11/08/2017,15,81,2,1,Syrphid,Simon,NA,43.616903,-79.669317,23.663587997705708
11/08/2017,16,68,1,13,Honey Bee,James,NA,43.61094,-79.688052,25.27159407214257
11/08/2017,16,66,NA,0,NA,Simon,NA,43.61094,-79.688052,25.27159407214257
02/08/2017,17,112,NA,0,NA,Simon,NA,43.58858,-79.69878,26.712604213541383
02/08/2017,18,28,NA,0,NA,James,NA,43.565262,-79.700181,27.663536159879555
02/08/2017,18,28,1,1,Syrphid,Simon,NA,43.565262,-79.700181,27.663536159879555
02/08/2017,18,28,2,1,Syrphid,Simon,NA,43.565262,-79.700181,27.663536159879555
02/08/2017,19,75,1,5,Honey Bee,James,NA,43.546982,-79.720703,29.97539430161768
02/08/2017,19,91,1,13,Honey Bee,Simon,NA,43.546982,-79.720703,29.97539430161768
02/08/2017,19,91,2,4,Honey Bee,Simon,NA,43.546982,-79.720703,29.97539430161768
02/08/2017,20,42,NA,0,NA,James,NA,43.518649,-79.75084,33.52969169255897
02/08/2017,20,49,1,14,Bumble Bee,Simon,NA,43.518649,-79.75084,33.52969169255897
02/08/2017,21,67,1,6,Sweat Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,67,2,2,Honey Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,67,3,20,Honey Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,67,4,6,Honey Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,67,5,3,Honey Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,67,6,8,Honey Bee,James,NA,43.501561,-79.759063,35.016636139451414
02/08/2017,21,104,1,2,Sweat Bee,Simon,NA,43.501561,-79.759063,35.016636139451414
01/08/2017,22,24,1,5,Honey Bee,Cindy,NA,43.479071,-79.761802,36.4997112536466
01/08/2017,22,49,1,10,Honey Bee,James,NA,43.479071,-79.761802,36.4997112536466
01/08/2017,23,42,1,7,Honey Bee,Cindy,NA,43.453719,-79.757534,37.82230438666279
01/08/2017,23,42,2,4,Honey Bee,Cindy,NA,43.453719,-79.757534,37.82230438666279
01/08/2017,23,42,3,6,Honey Bee,Cindy,NA,43.453719,-79.757534,37.82230438666279
01/08/2017,23,48,1,1,Syrphid,James,NA,43.453719,-79.757534,37.82230438666279
01/08/2017,24,50,NA,0,NA,Cindy,NA,43.444847,-79.800063,41.184706639575694
01/08/2017,24,48,1,2,Honey Bee,James,NA,43.444847,-79.800063,41.184706639575694
01/08/2017,25,71,1,2,Sweat Bee,Cindy,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,71,2,26,Honey Bee,Cindy,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,71,3,9,Honey Bee,Cindy,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,71,4,9,Honey Bee,Cindy,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,71,5,1,Honey Bee,Cindy,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,74,1,3,Honey Bee,James,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,74,2,21,Honey Bee,James,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,25,74,3,2,Honey Bee,James,NA,43.432349,-79.829473,43.92776371111732
01/08/2017,26,32,1,2,Sweat Bee,Cindy,NA,43.414687,-79.832589,45.27544397596537
01/08/2017,26,32,2,2,Sweat Bee,Cindy,NA,43.414687,-79.832589,45.27544397596537
01/08/2017,26,32,3,5,Sweat Bee,Cindy,NA,43.414687,-79.832589,45.27544397596537
01/08/2017,26,32,4,1,Sweat Bee,Cindy,NA,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,1,1,Syrphid,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,2,20,Honey Bee,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,3,1,Syrphid,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,4,2,Syrphid,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,5,4,Honey Bee,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,26,34,6,10,Honey Bee,James,Small pop. Mowed. Few fruits,43.414687,-79.832589,45.27544397596537
01/08/2017,27,47,1,8,Syrphid,Cindy,NA,43.400155,-79.848595,47.27917025686753
01/08/2017,27,32,1,2,Syrphid,James,NA,43.400155,-79.848595,47.27917025686753
01/08/2017,27,32,2,16,Honey Bee,James,NA,43.400155,-79.848595,47.27917025686753
01/08/2017,27,32,3,3,Honey Bee,James,NA,43.400155,-79.848595,47.27917025686753
