Population,Individual,Num.Flwrs,Num.Seeds,Comments
1,1,,,"""seeds lost due to interruption"" on the envelope"
1,2,13,19,
1,3,63,150,
1,4,60,158,
1,5,24,8,
1,6,17,21,
1,7,31,46,
1,8,29,30,
1,9,24,15,
1,10,31,50,
1,11,25,3,
1,12,24,36,
1,13,20,8,
1,14,27,111,
1,15,27,41,
1,16,16,33,
1,17,31,21,
1,18,36,36,
1,19,16,14,
1,20,13,21,
2,1,29,57,
2,2,63,88,
2,3,51,59,
2,4,69,63,
2,5,57,115,
2,6,56,91,
2,7,38,39,
2,8,67,84,
2,9,77,128,
2,10,46,45,
2,11,43,93,
2,12,58,87,
2,13,47,98,
2,14,44,83,
2,15,74,107,
2,16,74,139,
2,17,56,103,
2,18,58,102,
2,19,65,129,
2,20,66,189,
3,1,51,51,
3,2,51,120,
3,3,43,64,
3,4,54,125,
3,5,60,68,
3,6,69,101,
3,7,50,49,
3,8,62,64,
3,9,57,65,
3,10,38,79,
3,11,43,104,
3,12,56,44,
3,13,60,145,
3,14,29,24,
3,15,27,26,
3,16,57,86,
3,17,50,25,
3,18,37,32,
3,19,62,36,
3,20,43,38,
4,1,12,13,
4,2,35,14,
4,3,32,33,
4,4,19,7,
4,5,15,10,
4,6,35,6,
4,7,32,46,
4,8,33,18,
4,9,22,6,
4,10,20,28,
4,11,29,12,
4,12,38,27,
4,13,,,empty
4,14,18,32,
4,15,31,26,
4,16,23,37,
4,17,39,43,
4,18,26,8,
4,19,43,31,
4,20,22,55,
5,1,22,36,
5,2,21,14,
5,3,15,36,
5,4,38,78,
5,5,10,4,
5,6,27,23,
5,7,22,30,
5,8,44,46,
5,9,28,14,
5,10,15,12,
5,11,21,22,
5,12,34,23,
5,13,18,2,
5,14,10,5,
5,15,43,0,
5,16,47,146,
5,17,23,19,
5,18,46,104,
5,19,45,61,
5,20,30,32,
6,1,11,5,
6,2,17,15,
6,3,20,30,
6,4,19,14,
6,5,41,24,
6,6,30,2,
6,7,17,5,
6,8,13,26,
6,9,11,11,
6,10,22,22,
6,11,19,16,
6,12,33,38,
6,13,17,1,
6,14,12,13,
6,15,29,20,
6,16,36,29,
6,17,24,42,
6,18,45,22,
6,19,32,40,
6,20,21,20,
7,1,30,0,
7,2,23,9,
7,3,27,38,
7,4,32,26,
7,5,14,6,
7,6,22,10,
7,7,33,34,
7,8,25,39,
7,9,37,37,
7,10,22,5,
7,11,23,5,
7,12,27,9,
7,13,30,28,
7,14,31,18,
7,15,13,3,
7,16,28,23,
7,17,30,15,
7,18,30,17,
7,19,32,7,
7,20,44,24,
8,1,14,26,
8,2,31,60,
8,3,19,39,
8,4,38,62,
8,5,24,26,
8,6,31,61,
8,7,22,29,
8,8,,,empty
8,9,35,58,
8,10,18,29,
8,11,26,8,
8,12,35,51,
8,13,21,36,
8,14,44,90,
8,15,19,48,
8,16,38,86,
8,17,23,24,
8,18,39,108,
8,19,38,35,
8,20,24,12,
9,1,20,19,
9,2,32,12,
9,3,26,5,
9,4,16,0,
9,5,11,7,
9,6,31,41,
9,7,22,38,
9,8,15,21,
9,9,34,45,
9,10,24,31,
9,11,36,49,
9,12,32,40,
9,13,29,19,
9,14,41,43,
9,15,23,32,
9,16,56,79,
9,17,20,0,
9,18,29,0,
9,19,16,23,
9,20,31,35,
10,1,64,151,
10,2,22,8,
10,3,26,34,
10,4,36,87,
10,5,5,3,
10,6,24,50,
10,7,10,10,
10,8,22,66,
10,9,23,36,
10,10,14,17,
10,11,31,50,
10,12,26,54,
10,13,36,76,
10,14,46,103,
10,15,34,21,
10,16,38,82,
10,17,28,29,
10,18,32,45,
10,19,21,36,
10,20,28,26,
11,1,45,51,
11,2,36,116,
11,3,57,282,
11,4,58,132,
11,5,18,24,
11,6,16,31,
11,7,37,92,
11,8,13,0,
11,9,28,137,
11,10,43,85,
11,11,40,107,
11,12,27,73,
11,13,20,67,
11,14,22,11,
11,15,47,107,
11,16,43,58,
11,17,16,17,
11,18,33,68,
11,19,44,117,
11,20,21,31,
12,1,28,28,
12,2,16,26,
12,3,24,24,
12,4,25,15,
12,5,21,26,
12,6,16,26,
12,7,31,47,
12,8,37,64,
12,9,8,20,
12,10,36,81,
12,11,20,23,
12,12,17,20,
12,13,24,17,
12,14,28,17,
12,15,26,38,
12,16,25,14,
12,17,18,29,
12,18,17,27,
12,19,16,12,
12,20,8,7,
13,1,6,10,
13,2,26,27,
13,3,55,111,
13,4,41,14,
13,5,50,80,
13,6,58,48,
13,7,51,47,
13,8,42,58,
13,9,16,5,
13,10,25,10,
13,11,61,63,
13,12,36,7,
13,13,34,27,
13,14,24,6,
13,15,17,2,
13,16,23,21,
13,17,50,40,
13,18,13,0,
13,19,19,7,
13,20,39,12,
14,1,32,108,
14,2,57,128,
14,3,44,104,
14,4,38,37,
14,5,51,102,
14,6,50,40,
14,7,48,143,
14,8,56,151,
14,9,39,134,
14,10,39,85,
14,11,34,44,
14,12,74,164,
14,13,47,122,
14,14,31,58,
14,15,79,178,
14,16,36,71,
14,17,50,145,
14,18,52,219,
14,19,58,91,
14,20,33,69,
15,1,35,22,
15,2,30,21,
15,3,43,17,
15,4,27,32,
15,5,67,50,
15,6,66,81,
15,7,21,26,
15,8,32,13,
15,9,17,10,
15,10,17,10,
15,11,20,8,
15,12,46,30,
15,13,29,28,
15,14,41,26,
15,15,21,2,
15,16,22,37,
15,17,29,41,
15,18,21,18,
15,19,61,52,
15,20,44,54,inflorescence on top of inflorescence
16,1,48,65,
16,2,37,48,
16,3,34,47,
16,4,45,51,
16,5,29,19,
16,6,17,15,
16,7,27,19,
16,8,25,19,
16,9,21,15,
16,10,51,21,
16,11,42,29,
16,12,32,65,
16,13,48,59,
16,14,36,11,
16,15,32,25,
16,16,27,5,
16,17,25,15,
16,18,39,6,
16,19,37,25,
16,20,67,60,
17,1,50,107,
17,2,28,47,
17,3,40,11,
17,4,51,44,
17,5,43,60,
17,6,53,75,
17,7,21,30,
17,8,34,37,
17,9,19,20,
17,10,28,14,
17,11,30,16,
17,12,18,11,
17,13,12,3,
17,14,30,13,
17,15,37,41,
17,16,69,66,
17,17,42,16,
17,18,45,125,
17,19,55,101,
17,20,24,10,
18,1,18,3,
18,2,8,2,
18,3,29,0,
18,4,32,24,
18,5,20,7,
18,6,30,0,
18,7,32,51,
18,8,16,22,
18,9,6,2,
18,10,55,40,
18,11,19,13,
18,12,33,56,
18,13,20,24,
18,14,28,22,
18,15,9,5,
18,16,20,15,
18,17,19,35,
18,18,17,9,
18,19,14,7,
18,20,36,21,
19,1,18,28,
19,2,13,3,
19,3,13,2,
19,4,32,32,
19,5,17,21,
19,6,23,13,
19,7,43,61,
19,8,25,33,
19,9,25,3,
19,10,20,26,
19,11,16,5,
19,12,23,25,
19,13,31,21,
19,14,29,24,
19,15,26,15,
19,16,18,1,
19,17,25,20,
19,18,33,24,
19,19,30,7,
19,20,31,4,
20,1,18,33,
20,2,10,14,
20,3,36,55,
20,4,38,19,
20,5,32,23,
20,6,15,11,
20,7,38,35,
20,8,35,31,
20,9,7,5,
20,10,35,16,
20,11,11,3,
20,12,21,9,
20,13,15,5,
20,14,14,15,
20,15,38,58,
20,16,8,8,
20,17,18,2,
20,18,49,30,
20,19,21,3,
20,20,43,24,
21,1,32,24,
21,2,26,5,
21,3,25,4,
21,4,15,6,
21,5,17,4,
21,6,16,3,
21,7,40,19,
21,8,14,3,
21,9,30,15,
21,10,37,41,
21,11,28,21,
21,12,16,19,
21,13,20,4,
21,14,19,1,
21,15,35,18,
21,16,30,0,
21,17,14,0,
21,18,35,15,
21,19,17,6,
21,20,18,7,
22,1,19,4,
22,2,20,5,
22,3,41,50,
22,4,43,44,
22,5,31,50,
22,6,51,41,
22,7,29,8,
22,8,15,12,
22,9,48,56,
22,10,42,34,
22,11,44,65,
22,12,51,6,
22,13,79,37,
22,14,40,13,
22,15,23,5,
22,16,27,15,
22,17,19,11,
22,18,32,35,
22,19,14,0,
22,20,25,29,
23,1,33,68,
23,2,40,91,
23,3,18,41,
23,4,42,15,
23,5,4,5,
23,6,30,66,
23,7,46,102,
23,8,69,106,
23,9,4,7,
23,10,9,0,
23,11,46,60,
23,12,20,13,
23,13,20,38,
23,14,15,7,
23,15,14,0,
23,16,35,26,
23,17,13,24,
23,18,53,56,
23,19,18,0,
23,20,34,0,
24,1,71,94,
24,2,26,84,
24,3,40,19,
24,4,33,40,
24,5,24,52,
24,6,31,65,
24,7,40,104,
24,8,41,40,
24,9,28,70,
24,10,17,30,
24,11,55,57,
24,12,60,53,
24,13,44,70,
24,14,24,32,
24,15,47,76,
24,16,56,133,
24,17,22,19,
24,18,59,112,
24,19,55,116,
24,20,62,108,
25,1,19,4,
25,2,48,71,
25,3,40,51,
25,4,41,48,
25,5,15,8,
25,6,35,38,
25,7,44,45,
25,8,29,30,
25,9,68,61,
25,10,74,83,
25,11,36,67,
25,12,20,22,
25,13,58,46,
25,14,33,32,
25,15,23,24,
25,16,56,59,
25,17,60,59,
25,18,38,39,
25,19,41,73,
25,20,47,1,
26,1,41,31,
26,2,20,25,
26,3,54,21,
26,4,20,1,
26,5,46,17,
26,6,41,31,
27,1,46,31,
27,2,27,24,
27,3,24,2,
27,4,63,34,
27,5,42,37,
27,6,6,1,
27,7,27,16,
27,8,69,20,
27,9,23,7,
27,10,12,0,
27,11,39,1,
27,12,40,0,
27,13,28,0,
27,14,23,19,
27,15,17,2,
27,16,32,22,
27,17,37,55,
27,18,25,1,
27,19,47,38,
27,20,35,7,